"Code","Description"
"00h/00h","NO ADDITIONAL SENSE INFORMATION"
"00h/01h","FILEMARK DETECTED"
"00h/02h","END-OF-PARTITION/MEDIUM DETECTED"
"00h/03h","SETMARK DETECTED"
"00h/04h","BEGINNING-OF-PARTITION/MEDIUM DETECTED"
"00h/05h","END-OF-DATA DETECTED"
"00h/06h","I/O PROCESS TERMINATED"
"00h/07h","PROGRAMMABLE EARLY WARNING DETECTED"
"00h/11h","AUDIO PLAY OPERATION IN PROGRESS"
"00h/12h","AUDIO PLAY OPERATION PAUSED"
"00h/13h","AUDIO PLAY OPERATION SUCCESSFULLY COMPLETED"
"00h/14h","AUDIO PLAY OPERATION STOPPED DUE TO ERROR"
"00h/15h","NO CURRENT AUDIO STATUS TO RETURN"
"00h/16h","OPERATION IN PROGRESS"
"00h/17h","CLEANING REQUESTED"
"00h/18h","ERASE OPERATION IN PROGRESS"
"00h/19h","LOCATE OPERATION IN PROGRESS"
"00h/1Ah","REWIND OPERATION IN PROGRESS"
"00h/1Bh","SET CAPACITY OPERATION IN PROGRESS"
"00h/1Ch","VERIFY OPERATION IN PROGRESS"
"00h/1Dh","ATA PASS THROUGH INFORMATION AVAILABLE"
"00h/1Eh","CONFLICTING SA CREATION REQUEST"
"00h/1Fh","LOGICAL UNIT TRANSITIONING TO ANOTHER POWER CONDITION"
"00h/20h","EXTENDED COPY INFORMATION AVAILABLE"
"00h/21h","ATOMIC COMMAND ABORTED DUE TO ACA"
"01h/00h","NO INDEX/SECTOR SIGNAL"
"02h/00h","NO SEEK COMPLETE"
"03h/00h","PERIPHERAL DEVICE WRITE FAULT"
"03h/01h","NO WRITE CURRENT"
"03h/02h","EXCESSIVE WRITE ERRORS"
"04h/00h","LOGICAL UNIT NOT READY, CAUSE NOT REPORTABLE"
"04h/01h","LOGICAL UNIT IS IN PROCESS OF BECOMING READY"
"04h/02h","LOGICAL UNIT NOT READY, INITIALIZING COMMAND REQUIRED"
"04h/03h","LOGICAL UNIT NOT READY, MANUAL INTERVENTION REQUIRED"
"04h/04h","LOGICAL UNIT NOT READY, FORMAT IN PROGRESS"
"04h/05h","LOGICAL UNIT NOT READY, REBUILD IN PROGRESS"
"04h/06h","LOGICAL UNIT NOT READY, RECALCULATION IN PROGRESS"
"04h/07h","LOGICAL UNIT NOT READY, OPERATION IN PROGRESS"
"04h/08h","LOGICAL UNIT NOT READY, LONG WRITE IN PROGRESS"
"04h/09h","LOGICAL UNIT NOT READY, SELF-TEST IN PROGRESS"
"04h/0Ah","LOGICAL UNIT NOT ACCESSIBLE, ASYMMETRIC ACCESS STATE TRANSITION"
"04h/0Bh","LOGICAL UNIT NOT ACCESSIBLE, TARGET PORT IN STANDBY STATE"
"04h/0Ch","LOGICAL UNIT NOT ACCESSIBLE, TARGET PORT IN UNAVAILABLE STATE"
"04h/0Dh","LOGICAL UNIT NOT READY, STRUCTURE CHECK REQUIRED"
"04h/0Eh","LOGICAL UNIT NOT READY, SECURITY SESSION IN PROGRESS"
"04h/10h","LOGICAL UNIT NOT READY, AUXILIARY MEMORY NOT ACCESSIBLE"
"04h/11h","LOGICAL UNIT NOT READY, NOTIFY (ENABLE SPINUP) REQUIRED"
"04h/12h","LOGICAL UNIT NOT READY, OFFLINE"
"04h/13h","LOGICAL UNIT NOT READY, SA CREATION IN PROGRESS"
"04h/14h","LOGICAL UNIT NOT READY, SPACE ALLOCATION IN PROGRESS"
"04h/15h","LOGICAL UNIT NOT READY, ROBOTICS DISABLED"
"04h/16h","LOGICAL UNIT NOT READY, CONFIGURATION REQUIRED"
"04h/17h","LOGICAL UNIT NOT READY, CALIBRATION REQUIRED"
"04h/18h","LOGICAL UNIT NOT READY, A DOOR IS OPEN"
"04h/19h","LOGICAL UNIT NOT READY, OPERATING IN SEQUENTIAL MODE"
"04h/1Ah","LOGICAL UNIT NOT READY, START STOP UNIT COMMAND IN PROGRESS"
"04h/1Bh","LOGICAL UNIT NOT READY, SANITIZE IN PROGRESS"
"04h/1Ch","LOGICAL UNIT NOT READY, ADDITIONAL POWER USE NOT YET GRANTED"
"04h/1Dh","LOGICAL UNIT NOT READY, CONFIGURATION IN PROGRESS"
"04h/1Eh","LOGICAL UNIT NOT READY, MICROCODE ACTIVATION REQUIRED"
"04h/1Fh","LOGICAL UNIT NOT READY, MICROCODE DOWNLOAD REQUIRED"
"04h/20h","LOGICAL UNIT NOT READY, LOGICAL UNIT RESET REQUIRED"
"04h/21h","LOGICAL UNIT NOT READY, HARD RESET REQUIRED"
"04h/22h","LOGICAL UNIT NOT READY, POWER CYCLE REQUIRED"
"04h/23h","LOGICAL UNIT NOT READY, AFFILIATION REQUIRED"
"05h/00h","LOGICAL UNIT DOES NOT RESPOND TO SELECTION"
"06h/00h","NO REFERENCE POSITION FOUND"
"07h/00h","MULTIPLE PERIPHERAL DEVICES SELECTED"
"08h/00h","LOGICAL UNIT COMMUNICATION FAILURE"
"08h/01h","LOGICAL UNIT COMMUNICATION TIME-OUT"
"08h/02h","LOGICAL UNIT COMMUNICATION PARITY ERROR"
"08h/03h","LOGICAL UNIT COMMUNICATION CRC ERROR (ULTRA-DMA/32)"
"08h/04h","UNREACHABLE COPY TARGET"
"09h/00h","TRACK FOLLOWING ERROR"
"09h/01h","TRACKING SERVO FAILURE"
"09h/02h","FOCUS SERVO FAILURE"
"09h/03h","SPINDLE SERVO FAILURE"
"09h/04h","HEAD SELECT FAULT"
"09h/05h","VIBRATION INDUCED TRACKING ERROR"
"0Ah/00h","ERROR LOG OVERFLOW"
"0Bh/00h","WARNING"
"0Bh/01h","WARNING - SPECIFIED TEMPERATURE EXCEEDED"
"0Bh/02h","WARNING - ENCLOSURE DEGRADED"
"0Bh/03h","WARNING - BACKGROUND SELF-TEST FAILED"
"0Bh/04h","WARNING - BACKGROUND PRE-SCAN DETECTED MEDIUM ERROR"
"0Bh/05h","WARNING - BACKGROUND MEDIUM SCAN DETECTED MEDIUM ERROR"
"0Bh/06h","WARNING - NON-VOLATILE CACHE NOW VOLATILE"
"0Bh/07h","WARNING - DEGRADED POWER TO NON-VOLATILE CACHE"
"0Bh/08h","WARNING - POWER LOSS EXPECTED"
"0Bh/09h","WARNING - DEVICE STATISTICS NOTIFICATION ACTIVE"
"0Bh/0Ah","WARNING - HIGH CRITICAL TEMPERATURE LIMIT EXCEEDED"
"0Bh/0Bh","WARNING - LOW CRITICAL TEMPERATURE LIMIT EXCEEDED"
"0Bh/0Ch","WARNING - HIGH OPERATING TEMPERATURE LIMIT EXCEEDED"
"0Bh/0Dh","WARNING - LOW OPERATING TEMPERATURE LIMIT EXCEEDED"
"0Bh/0Eh","WARNING - HIGH CRITICAL HUMIDITY LIMIT EXCEEDED"
"0Bh/0Fh","WARNING - LOW CRITICAL HUMIDITY LIMIT EXCEEDED"
"0Bh/10h","WARNING - HIGH OPERATING HUMIDITY LIMIT EXCEEDED"
"0Bh/11h","WARNING - LOW OPERATING HUMIDITY LIMIT EXCEEDED"
"0Bh/12h","WARNING - MICROCODE SECURITY AT RISK"
"0Bh/13h","WARNING - MICROCODE DIGITAL SIGNATURE VALIDATION FAILURE"
"0Ch/00h","WRITE ERROR"
"0Ch/01h","WRITE ERROR - RECOVERED WITH AUTO REALLOCATION"
"0Ch/02h","WRITE ERROR - AUTO REALLOCATION FAILED"
"0Ch/03h","WRITE ERROR - RECOMMEND REASSIGNMENT"
"0Ch/04h","COMPRESSION CHECK MISCOMPARE ERROR"
"0Ch/05h","DATA EXPANSION OCCURRED DURING COMPRESSION"
"0Ch/06h","BLOCK NOT COMPRESSIBLE"
"0Ch/07h","WRITE ERROR - RECOVERY NEEDED"
"0Ch/08h","WRITE ERROR - RECOVERY FAILED"
"0Ch/09h","WRITE ERROR - LOSS OF STREAMING"
"0Ch/0Ah","WRITE ERROR - PADDING BLOCKS ADDED"
"0Ch/0Bh","AUXILIARY MEMORY WRITE ERROR"
"0Ch/0Ch","WRITE ERROR - UNEXPECTED UNSOLICITED DATA"
"0Ch/0Dh","WRITE ERROR - NOT ENOUGH UNSOLICITED DATA"
"0Ch/0Eh","MULTIPLE WRITE ERRORS"
"0Ch/0Fh","DEFECTS IN ERROR WINDOW"
"0Ch/10h","INCOMPLETE MULTIPLE ATOMIC WRITE OPERATIONS"
"0Ch/11h","WRITE ERROR - RECOVERY SCAN NEEDED"
"0Ch/12h","WRITE ERROR - INSUFFICIENT ZONE RESOURCES"
"0Dh/00h","ERROR DETECTED BY THIRD PARTY TEMPORARY INITIATOR"
"0Dh/01h","THIRD PARTY DEVICE FAILURE"
"0Dh/02h","COPY TARGET DEVICE NOT REACHABLE"
"0Dh/03h","INCORRECT COPY TARGET DEVICE TYPE"
"0Dh/04h","COPY TARGET DEVICE DATA UNDERRUN"
"0Dh/05h","COPY TARGET DEVICE DATA OVERRUN"
"0Eh/00h","INVALID INFORMATION UNIT"
"0Eh/01h","INFORMATION UNIT TOO SHORT"
"0Eh/02h","INFORMATION UNIT TOO LONG"
"0Eh/03h","INVALID FIELD IN COMMAND INFORMATION UNIT"
"10h/00h","ID CRC OR ECC ERROR"
"10h/01h","LOGICAL BLOCK GUARD CHECK FAILED"
"10h/02h","LOGICAL BLOCK APPLICATION TAG CHECK FAILED"
"10h/03h","LOGICAL BLOCK REFERENCE TAG CHECK FAILED"
"10h/04h","LOGICAL BLOCK PROTECTION ERROR ON RECOVER BUFFERED DATA"
"10h/05h","LOGICAL BLOCK PROTECTION METHOD ERROR"
